"","rut","tipo_dif_6","ventas_inicio","monto_op","tasa_anual","plazo","es_mujer","es_hombre","es_pj","para_cap_trab","para_inv","para_cap_trab_inv","comercio","alimento","agricultura","region","eval"
"70",1300,"2 entre -5% y 5%",0.299926218528553,-0.131907574825563,0.137694153599676,0.520811901424669,0,1,0,1,0,0,1,0,0,"7",FALSE
"71",1315,"2 entre -5% y 5%",3.72918245529925,3.90958000889374,0.137694153599676,0.520811901424669,1,0,0,1,0,0,1,0,0,"13",FALSE
"72",1340,"2 entre -5% y 5%",1.24884172992412,4.38101158000853,0.137694153599676,-0.332635202303582,1,0,0,1,0,0,1,0,0,"13",FALSE
"75",1438,"2 entre -5% y 5%",1.0938204762696,0.631429150840957,0.137694153599676,-1.18608230603183,0,1,0,1,0,0,1,0,0,"13",FALSE
"76",1472,"2 entre -5% y 5%",0.93879922261509,4.37707720645273,0.137694153599676,-0.332635202303582,1,0,0,1,0,0,1,0,0,"13",FALSE
"77",1517,"2 entre -5% y 5%",-0.177354203839162,1.17443195415532,0.137694153599676,-0.332635202303582,1,0,0,1,0,0,1,0,0,"5",FALSE
"79",1542,"2 entre -5% y 5%",-0.673422282223896,1.05228861608411,0.137694153599676,-0.332635202303582,1,0,0,1,0,0,1,0,0,"9",FALSE
"80",1567,"2 entre -5% y 5%",-0.223860679970956,-0.354291406944499,0.137694153599676,-0.332635202303582,1,0,0,1,0,0,1,0,0,"5",FALSE
"82",1616,"2 entre -5% y 5%",-0.0175702628784873,0.14646423971864,0.137694153599676,1.37425900515292,1,0,0,1,0,0,1,0,0,"13",FALSE
"83",1629,"2 entre -5% y 5%",-0.617720214980849,-0.880839557386989,0.137694153599676,-1.18608230603183,1,0,0,1,0,0,1,0,0,"13",FALSE
"84",1647,"2 entre -5% y 5%",-0.19285636254976,-0.231028194472611,0.137694153599676,-0.332635202303582,1,0,0,1,0,0,1,0,0,"9",FALSE
"85",1663,"2 entre -5% y 5%",0.145120374521858,4.79468165264348,0.137694153599676,0.520811901424669,1,0,0,1,0,0,1,0,0,"9",FALSE
"88",1766,"2 entre -5% y 5%",0.318713874545572,-0.127940496996963,0.137694153599676,-0.332635202303582,1,0,0,1,0,0,1,0,0,"8",FALSE
"89",1783,"2 entre -5% y 5%",-0.301371140072479,3.29904107637904,0.137694153599676,-0.332635202303582,1,0,0,1,0,0,1,0,0,"13",FALSE
"93",1928,"2 entre -5% y 5%",-0.471270331290972,0.138342958826218,0.137694153599676,1.37425900515292,1,0,0,1,0,0,1,0,0,"3",FALSE
"96",1976,"2 entre -5% y 5%",-0.146349886417966,0.350619163557021,0.137694153599676,-0.332635202303582,1,0,0,1,0,0,1,0,0,"4",FALSE
"98",2009,"2 entre -5% y 5%",0.00867136723654675,1.61810367570847,0.137694153599676,-1.18608230603183,1,0,0,1,0,0,1,0,0,"13",FALSE
"100",2043,"2 entre -5% y 5%",3.62697191121561,-0.0783927690956485,0.137694153599676,0.520811901424669,0,1,0,1,0,0,1,0,0,"7",FALSE
"105",2109,"2 entre -5% y 5%",-0.781937393198082,2.93134898149162,0.137694153599676,-0.332635202303582,1,0,0,1,0,0,1,0,0,"8",FALSE
"106",2118,"2 entre -5% y 5%",5.17326939408422,0.16367034330428,0.137694153599676,0.520811901424669,1,0,0,1,0,0,1,0,0,"9",FALSE
"113",2232,"2 entre -5% y 5%",-0.159615919589453,2.38818247505587,0.137694153599676,2.22770610888117,1,0,0,1,0,0,1,0,0,"8",FALSE
"115",2295,"2 entre -5% y 5%",0.163692620891059,4.38101158000853,0.137694153599676,-0.332635202303582,1,0,0,1,0,0,1,0,0,"13",FALSE
"118",2405,"2 entre -5% y 5%",-0.223860679970956,3.3424199149363,0.137694153599676,1.37425900515292,1,0,0,1,0,0,1,0,0,"1",FALSE
